"market_phase","n","avg_r","std_r","win_rate","p25_r","p50_r","p75_r"
"IMPULSE_NEUTRAL","3","-0.0999","1.6011","0.667","-0.5704","0.8077","0.8245"
"IMPULSE_BULL","62","-0.1042","1.6801","0.435","-1.6588","-0.5773","1.9555"
"TREND_PAUSE","16","-0.2588","0.9486","0.438","-1.2672","-0.2682","0.6337"
"POST_IMPULSE_DIGESTION","266","-0.4876","1.4604","0.353","-1.6634","-1.4567","1.1021"
"EXPANSION","58","-0.5126","1.3882","0.379","-1.5831","-1.4375","0.9858"
"REJECTION","81","-0.5252","1.3452","0.383","-1.6542","-1.4205","1.0879"
"PULLBACK_FAIL","33","-0.5277","1.3327","0.424","-1.6527","-1.3604","0.6405"
"GAP_CONTINUATION","78","-0.5850","1.3541","0.372","-1.7286","-1.4981","0.9935"
"LARGE_GAP_AUCTION_BULL","2","-0.6602","0.4399","0.000","-0.8157","-0.6602","-0.5047"
"GAP_AUCTION_CHOP","483","-0.6613","1.2927","0.337","-1.6734","-1.4849","0.9184"
"GAP_TIMEOUT","158","-0.6930","1.2550","0.291","-1.6559","-1.4395","0.6795"
"LARGE_GAP_UP","142","-0.6989","1.3176","0.324","-1.7006","-1.5559","0.9723"
"MODERATE_GAP_DOWN","43","-0.7258","1.0255","0.302","-1.5115","-1.4092","0.5833"
"TREND_DIGESTION","248","-0.7844","1.2630","0.315","-1.8035","-1.5580","0.7191"
"ABSORPTION","214","-0.8123","1.2408","0.294","-1.8174","-1.4779","0.7177"
"TREND_CONTINUATION","1251","-0.8136","1.3043","0.325","-1.8078","-1.6193","0.7749"
"TREND_ACCEPTANCE","1491","-0.8336","1.3269","0.317","-1.8167","-1.6071","0.8678"
"BALANCE_CHOP","1648","-0.8472","1.2228","0.289","-1.8104","-1.5495","0.4192"
"GAP_FILLED","82","-0.8977","1.1998","0.268","-1.7187","-1.5792","0.2823"
"COMPRESSION","860","-0.9380","1.1989","0.264","-1.8605","-1.5831","0.1635"
"BEAR_TREND_PAUSE","32","-1.1780","1.2906","0.219","-1.9525","-1.6785","-1.3819"
"LARGE_GAP_DOWN","59","-1.1908","1.0512","0.153","-1.7299","-1.5247","-1.3962"
"LARGE_GAP_AUCTION_BEAR","2","-1.1917","0.0590","0.000","-1.2125","-1.1917","-1.1708"
"IMPULSE_BEAR","71","-1.3369","1.0629","0.113","-1.8171","-1.6590","-1.5262"
"MODERATE_GAP_UP","74","-1.4042","0.9143","0.108","-1.8408","-1.6442","-1.5439"
"DISTRIBUTION","198","-1.5091","0.7611","0.076","-1.8147","-1.6861","-1.5708"
"BEAR_TREND_DIGESTION","307","-1.5536","0.8357","0.098","-1.9497","-1.7918","-1.6205"
"BEAR_TREND_CONTINUATION","1327","-1.5569","0.8280","0.086","-1.9487","-1.7638","-1.5778"
"BEAR_TREND_ACCEPTANCE","1584","-1.5660","0.8165","0.083","-1.9364","-1.7881","-1.5959"
