"market_phase","optimal_tp","optimal_sl","optimal_lookahead_min","samples","win_rate","computed_at"
"IMPULSE_BULL","1.4299984565607644","0.5",30,62,"0.43548387096774194","2026-03-23 10:00:18.248389+00"
"PULLBACK_FAIL","1.0745590375712903","0.5279831045405972",30,33,"0.42424242424242425","2026-03-23 10:00:18.248389+00"
"REJECTION","1.0282316650647145","0.5",30,81,"0.38271604938271603","2026-03-23 10:00:18.248389+00"
"EXPANSION","1.2675545406511861","0.5725817807462112",30,58,"0.3793103448275862","2026-03-23 10:00:18.248389+00"
"GAP_CONTINUATION","1","0.5",30,78,"0.3717948717948718","2026-03-23 10:00:18.248389+00"
"POST_IMPULSE_DIGESTION","1.2630459349863568","0.5",30,266,"0.3533834586466165","2026-03-23 10:00:18.248389+00"
"GAP_AUCTION_CHOP","1","0.5",30,483,"0.33747412008281574","2026-03-23 10:00:18.248389+00"
"TREND_CONTINUATION","1","0.5",60,1251,"0.32533972821742607","2026-03-23 10:00:18.248389+00"
"LARGE_GAP_UP","1","0.5",30,142,"0.323943661971831","2026-03-23 10:00:18.248389+00"
"TREND_ACCEPTANCE","1","0.5",75,1491,"0.3165660630449363","2026-03-23 10:00:18.248389+00"
"TREND_DIGESTION","1","0.5",30,248,"0.31451612903225806","2026-03-23 10:00:18.248389+00"
"MODERATE_GAP_DOWN","1.0691017850377889","0.8223859884906068",15,43,"0.3023255813953488","2026-03-23 10:00:18.248389+00"
"ABSORPTION","1","0.5236693463167895",30,214,"0.29439252336448596","2026-03-23 10:00:18.248389+00"
"GAP_TIMEOUT","1","0.5",30,158,"0.2911392405063291","2026-03-23 10:00:18.248389+00"
"BALANCE_CHOP","1","0.5",30,1648,"0.28944174757281554","2026-03-23 10:00:18.248389+00"
"GAP_FILLED","1","0.5342511858804656",30,82,"0.2682926829268293","2026-03-23 10:00:18.248389+00"
"COMPRESSION","1","0.5",30,860,"0.26395348837209304","2026-03-23 10:00:18.248389+00"
"BEAR_TREND_PAUSE","1.0146315006559208","0.5",15,32,"0.21875","2026-03-23 10:00:18.248389+00"
"LARGE_GAP_DOWN","1","0.5",15,59,"0.15254237288135594","2026-03-23 10:00:18.248389+00"
"IMPULSE_BEAR","1.2006403415155418","0.5",15,71,"0.11267605633802817","2026-03-23 10:00:18.248389+00"
"MODERATE_GAP_UP","1","0.5",15,74,"0.10810810810810811","2026-03-23 10:00:18.248389+00"
"BEAR_TREND_DIGESTION","1","0.5",15,307,"0.09771986970684039","2026-03-23 10:00:18.248389+00"
"BEAR_TREND_CONTINUATION","1","0.5",15,1327,"0.08590806330067823","2026-03-23 10:00:18.248389+00"
"BEAR_TREND_ACCEPTANCE","1","0.5",15,1584,"0.08333333333333333","2026-03-23 10:00:18.248389+00"
"DISTRIBUTION","1","0.5",15,198,"0.07575757575757576","2026-03-23 10:00:18.248389+00"
